"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","Zip.Code","County.Name","Test.Name","Subgroup.Name"
"1",6550,21,10215,2130037,0,2010,1,"C",0,149,99,99,8,7,16,15,93.8,293.2,0,7,7,29,36,29,14,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," All Students"
"2",6552,21,10215,2130037,0,2010,1,"C",0,149,99,99,9,7,56,42,75,283.5,0,8,8,26,21,46,39,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," All Students"
"3",6553,21,10215,2130037,0,2010,1,"C",0,149,99,99,9,28,56,27,48.2,272.4,0,0,0,26,44,30,27,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," All Students"
"4",6554,21,10215,2130037,0,2010,1,"C",0,149,99,99,10,32,43,13,30.2,272.5,8,8,15,0,15,69,13,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," All Students"
"5",6557,21,10215,2130037,0,2010,1,"C",0,149,99,99,10,7,43,26,60.5,273.5,0,4,4,17,33,46,24,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," All Students"
"6",6571,21,10215,2130037,0,2010,3,"C",0,149,99,58,9,28,56,15,26.8,273.7,NA,NA,0,NA,NA,NA,15,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Males"
"7",6572,21,10215,2130037,0,2010,3,"C",0,149,99,58,9,7,56,21,37.5,273.3,NA,NA,5,NA,NA,NA,19,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Males"
"8",6573,21,10215,2130037,0,2010,3,"C",0,149,99,58,10,7,43,19,44.2,266.5,NA,NA,0,NA,NA,NA,17,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Males"
"9",6575,21,10215,2130037,0,2010,3,"C",0,149,99,58,10,32,43,11,25.6,278.5,NA,NA,18,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," Males"
"10",6588,21,10215,2130037,0,2010,4,"C",0,149,99,41,9,7,56,21,37.5,293.3,NA,NA,10,NA,NA,NA,20,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Females"
"11",6589,21,10215,2130037,0,2010,4,"C",0,149,99,41,9,28,56,12,21.4,270.8,NA,NA,0,NA,NA,NA,12,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Females"
"12",6601,21,10215,2130037,0,2010,6,"C",0,149,99,82,8,7,16,15,93.8,293.2,NA,NA,7,NA,NA,NA,14,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Fluent-English Proficient and English Only"
"13",6603,21,10215,2130037,0,2010,6,"C",0,149,99,82,9,7,56,36,64.3,288.2,NA,NA,9,NA,NA,NA,33,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Fluent-English Proficient and English Only"
"14",6604,21,10215,2130037,0,2010,6,"C",0,149,99,82,9,28,56,20,35.7,276.9,NA,NA,0,NA,NA,NA,20,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Fluent-English Proficient and English Only"
"15",6607,21,10215,2130037,0,2010,6,"C",0,149,99,82,10,7,43,20,46.5,278.2,NA,NA,6,NA,NA,NA,18,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Fluent-English Proficient and English Only"
"16",6634,21,10215,2130037,0,2010,31,"C",0,149,99,66,9,7,56,30,53.6,279.3,NA,NA,4,NA,NA,NA,27,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Economically Disadvantaged"
"17",6635,21,10215,2130037,0,2010,31,"C",0,149,99,66,9,28,56,23,41.1,271,NA,NA,0,NA,NA,NA,23,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Economically Disadvantaged"
"18",6637,21,10215,2130037,0,2010,31,"C",0,149,99,66,10,7,43,16,37.2,265.9,NA,NA,0,NA,NA,NA,14,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Economically Disadvantaged"
"19",6671,21,10215,2130037,0,2010,78,"C",0,149,99,47,9,28,56,11,19.6,275.2,NA,NA,0,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Hispanic or Latino"
"20",6672,21,10215,2130037,0,2010,78,"C",0,149,99,47,9,7,56,17,30.4,273.6,NA,NA,6,NA,NA,NA,16,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Hispanic or Latino"
"21",6673,21,10215,2130037,0,2010,78,"C",0,149,99,47,10,7,43,13,30.2,269.8,NA,NA,0,NA,NA,NA,12,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Hispanic or Latino"
"22",6686,21,10215,2130037,0,2010,80,"C",0,149,99,25,9,7,56,11,19.6,306.8,NA,NA,18,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," White"
"23",6713,21,10215,2130037,0,2010,91,"C",0,149,99,26,9,7,56,14,25,273.5,NA,NA,7,NA,NA,NA,14,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," High School Graduate"
"24",6714,21,10215,2130037,0,2010,91,"C",0,149,99,26,9,28,56,11,19.6,275.6,NA,NA,0,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," High School Graduate"
"25",6753,21,10215,2130037,0,2010,99,"C",0,149,99,75,8,7,16,12,75,292.8,NA,NA,9,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Students with No Reported Disability"
"26",6755,21,10215,2130037,0,2010,99,"C",0,149,99,75,9,7,56,31,55.4,285.2,NA,NA,10,NA,NA,NA,29,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Students with No Reported Disability"
"27",6756,21,10215,2130037,0,2010,99,"C",0,149,99,75,9,28,56,19,33.9,276.4,NA,NA,0,NA,NA,NA,19,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Students with No Reported Disability"
"28",6757,21,10215,2130037,0,2010,99,"C",0,149,99,75,10,7,43,20,46.5,278.1,NA,NA,5,NA,NA,NA,19,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Students with No Reported Disability"
"29",6775,21,10215,2130037,0,2010,111,"C",0,149,99,33,9,7,56,12,21.4,293.1,NA,NA,17,NA,NA,NA,12,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Not Economically Disadvantaged"
"30",6807,21,10215,2130037,0,2010,128,"C",0,149,99,24,9,7,56,11,19.6,278.8,NA,NA,0,NA,NA,NA,10,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," Students with Disability"
"31",6871,21,10215,2130037,0,2010,180,"C",0,149,99,62,9,28,56,14,25,274.3,NA,NA,0,NA,NA,NA,14,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," English Only"
"32",6872,21,10215,2130037,0,2010,180,"C",0,149,99,62,9,7,56,28,50,290,NA,NA,12,NA,NA,NA,26,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," English Only"
"33",6875,21,10215,2130037,0,2010,180,"C",0,149,99,62,10,7,43,14,32.6,279.8,NA,NA,8,NA,NA,NA,13,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST English-Language Arts"," English Only"
"34",6903,21,10215,2130037,0,2010,204,"C",0,149,99,36,9,28,56,11,19.6,275.2,NA,NA,0,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education",94913,"Marin","CST General Mathematics (Grades 6 & 7 Standards)"," Hispanic or Latino"
