"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code","Test.Name","Subgroup.Name"
"1",7069,21,10215,2130037,0,2011,1,"C",0,119,109,109,9,28,39,17,43.6,292.9,0,24,24,18,12,47,17,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST General Mathematics (Grades 6 & 7 Standards)"," All Students"
"2",7071,21,10215,2130037,0,2011,1,"C",0,119,109,109,9,7,39,35,89.7,302.8,6,6,12,35,32,21,34,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," All Students"
"3",7075,21,10215,2130037,0,2011,1,"C",0,119,109,109,10,32,42,29,69,284.8,4,11,14,25,14,46,28,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," All Students"
"4",7077,21,10215,2130037,0,2011,1,"C",0,119,109,109,10,7,42,39,92.9,273.9,0,9,9,21,15,55,33,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," All Students"
"5",7080,21,10215,2130037,0,2011,1,"C",0,119,109,109,11,19,29,16,55.2,289.6,6,19,25,13,13,50,16,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST U.S. History"," All Students"
"6",7081,21,10215,2130037,0,2011,1,"C",0,119,109,109,11,7,29,27,93.1,312.5,16,16,32,28,12,28,25,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," All Students"
"7",7099,21,10215,2130037,0,2011,3,"C",0,119,109,75,9,28,39,11,28.2,290.7,NA,NA,18,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST General Mathematics (Grades 6 & 7 Standards)"," Males"
"8",7102,21,10215,2130037,0,2011,3,"C",0,119,109,75,9,7,39,22,56.4,300.4,NA,NA,10,NA,NA,NA,21,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," Males"
"9",7103,21,10215,2130037,0,2011,3,"C",0,119,109,75,10,7,42,25,59.5,267.5,NA,NA,5,NA,NA,NA,22,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," Males"
"10",7106,21,10215,2130037,0,2011,3,"C",0,119,109,75,10,32,42,20,47.6,278.4,NA,NA,16,NA,NA,NA,19,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," Males"
"11",7109,21,10215,2130037,0,2011,3,"C",0,119,109,75,11,7,29,21,72.4,299.1,NA,NA,25,NA,NA,NA,20,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," Males"
"12",7112,21,10215,2130037,0,2011,3,"C",0,119,109,75,11,19,29,13,44.8,293.8,NA,NA,31,NA,NA,NA,13,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST U.S. History"," Males"
"13",7125,21,10215,2130037,0,2011,4,"C",0,119,109,33,9,7,39,13,33.3,306.7,NA,NA,15,NA,NA,NA,13,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," Females"
"14",7126,21,10215,2130037,0,2011,4,"C",0,119,109,33,10,7,42,13,31,286.7,NA,NA,18,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," Females"
"15",7143,21,10215,2130037,0,2011,6,"C",0,119,109,82,9,7,39,25,64.1,307.4,NA,NA,16,NA,NA,NA,25,NA,"Marin County Community","Marin County Office of Education","Marin",94913,"CST English-Language Arts"," Fluent-English Proficient and English Only"
