"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code","Subgroup.Name","Test.Name"
"1",6756,21,10215,2130037,0,2012,1,"C",0,99,93,93,9,7,20,20,100,307.8,0,15,15,38,38,8,13,NA,"Marin County Community","Marin County Office of Education","Marin",94913," All Students","CST English-Language Arts"
"2",6758,21,10215,2130037,0,2012,1,"C",0,99,93,93,9,28,20,11,55,300,0,30,30,10,40,20,10,NA,"Marin County Community","Marin County Office of Education","Marin",94913," All Students","CST General Mathematics (Grades 6 & 7 Standards)"
"3",6761,21,10215,2130037,0,2012,1,"C",0,99,93,93,10,32,38,24,63.2,288.1,4,13,17,17,26,39,23,NA,"Marin County Community","Marin County Office of Education","Marin",94913," All Students","CST Science - Grade 5, Grade 8, and Grade 10 Life Science"
"4",6763,21,10215,2130037,0,2012,1,"C",0,99,93,93,10,7,38,34,89.5,275.9,3,0,3,26,32,38,34,NA,"Marin County Community","Marin County Office of Education","Marin",94913," All Students","CST English-Language Arts"
"5",6764,21,10215,2130037,0,2012,1,"C",0,99,93,93,11,7,32,30,93.8,284.5,4,4,7,30,26,37,27,NA,"Marin County Community","Marin County Office of Education","Marin",94913," All Students","CST English-Language Arts"
"6",6768,21,10215,2130037,0,2012,1,"C",0,99,93,93,11,19,32,15,46.9,270.5,0,7,7,20,20,53,15,NA,"Marin County Community","Marin County Office of Education","Marin",94913," All Students","CST U.S. History"
"7",6780,21,10215,2130037,0,2012,3,"C",0,99,93,54,9,7,20,13,65,305,NA,NA,11,NA,NA,NA,9,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Males","CST English-Language Arts"
"8",6784,21,10215,2130037,0,2012,3,"C",0,99,93,54,10,7,38,18,47.4,270.4,NA,NA,6,NA,NA,NA,18,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Males","CST English-Language Arts"
"9",6786,21,10215,2130037,0,2012,3,"C",0,99,93,54,10,32,38,12,31.6,276,NA,NA,8,NA,NA,NA,12,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Males","CST Science - Grade 5, Grade 8, and Grade 10 Life Science"
"10",6789,21,10215,2130037,0,2012,3,"C",0,99,93,54,11,7,32,16,50,269.5,NA,NA,7,NA,NA,NA,14,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Males","CST English-Language Arts"
"11",6803,21,10215,2130037,0,2012,4,"C",0,99,93,39,10,7,38,16,42.1,282.1,NA,NA,0,NA,NA,NA,16,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Females","CST English-Language Arts"
"12",6805,21,10215,2130037,0,2012,4,"C",0,99,93,39,10,32,38,12,31.6,301.4,NA,NA,27,NA,NA,NA,11,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Females","CST Science - Grade 5, Grade 8, and Grade 10 Life Science"
"13",6809,21,10215,2130037,0,2012,4,"C",0,99,93,39,11,7,32,14,43.8,300.6,NA,NA,8,NA,NA,NA,13,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Females","CST English-Language Arts"
"14",6823,21,10215,2130037,0,2012,6,"C",0,99,93,76,9,7,20,15,75,307.3,NA,NA,20,NA,NA,NA,10,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Fluent-English Proficient and English Only","CST English-Language Arts"
"15",6826,21,10215,2130037,0,2012,6,"C",0,99,93,76,10,32,38,19,50,295.7,NA,NA,22,NA,NA,NA,18,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Fluent-English Proficient and English Only","CST Science - Grade 5, Grade 8, and Grade 10 Life Science"
"16",6827,21,10215,2130037,0,2012,6,"C",0,99,93,76,10,7,38,27,71.1,281.4,NA,NA,4,NA,NA,NA,27,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Fluent-English Proficient and English Only","CST English-Language Arts"
"17",6830,21,10215,2130037,0,2012,6,"C",0,99,93,76,11,7,32,26,81.3,290.3,NA,NA,9,NA,NA,NA,23,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Fluent-English Proficient and English Only","CST English-Language Arts"
"18",6833,21,10215,2130037,0,2012,6,"C",0,99,93,76,11,19,32,12,37.5,272.9,NA,NA,8,NA,NA,NA,12,NA,"Marin County Community","Marin County Office of Education","Marin",94913," Fluent-English Proficient and English Only","CST U.S. History"
