"","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code"
"8633",38,10389,1,0,2011,1,"C",0,171,161,161,8,7,25,12,48,"287.4","0","9","9","36","9","45",11,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8635",38,10389,1,0,2011,1,"C",0,171,161,161,8,29,25,13,52,"262.8","0","0","0","17","25","58",12,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8636",38,10389,1,0,2011,1,"C",0,171,161,161,8,28,25,17,68,"268.6","0","0","0","23","23","54",13,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8637",38,10389,1,0,2011,1,"C",0,171,161,161,8,32,25,12,48,"231.3","0","0","0","10","20","70",10,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8640",38,10389,1,0,2011,1,"C",0,171,161,161,9,20,37,16,43.2,"281.4","0","0","0","25","38","38",16,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8642",38,10389,1,0,2011,1,"C",0,171,161,161,9,18,37,16,43.2,"256.3","0","8","8","0","33","58",12,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8643",38,10389,1,0,2011,1,"C",0,171,161,161,9,28,37,12,32.4,"247.9","0","0","0","9","27","64",11,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8645",38,10389,1,0,2011,1,"C",0,171,161,161,9,7,37,20,54.1,"280.8","0","6","6","28","22","44",18,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8646",38,10389,1,0,2011,1,"C",0,171,161,161,10,7,34,24,70.6,"265.8","0","7","7","0","40","53",15,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8647",38,10389,1,0,2011,1,"C",0,171,161,161,10,9,34,18,52.9,"252.2","0","0","0","7","29","64",14,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8648",38,10389,1,0,2011,1,"C",0,171,161,161,10,18,34,20,58.8,"226.9","0","0","0","0","21","79",14,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8649",38,10389,1,0,2011,1,"C",0,171,161,161,10,32,34,21,61.8,"250.4","0","7","7","0","14","79",14,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8651",38,10389,1,0,2011,1,"C",0,171,161,161,10,20,34,12,35.3,"267.7","0","0","0","10","20","70",10,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8659",38,10389,1,0,2011,1,"C",0,171,161,161,11,19,19,11,57.9,"266.5","13","0","13","0","25","63",8,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8660",38,10389,1,0,2011,1,"C",0,171,161,161,11,7,19,12,63.2,"266.1","0","13","13","0","50","38",8,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8678",38,10389,1,0,2011,1,"M",0,171,161,161,7,44,20,13,65,"241.3","8","0","8","8","25","58",12,"","District Students in NPS","Alameda City Unified","Alameda",94501
"8679",38,10389,1,0,2011,1,"M",0,171,161,161,7,45,20,14,70,"259.3","0","0","0","25","42","33",12,"","District Students in NPS","Alameda City Unified","Alameda",94501
