"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code","Test.Name","Subgroup.Name"
"1","45919",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,10,21,636,129,20.3,393.7,NA,NA,84,NA,NA,NA,128,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Chemistry"," Asian"
"2","45920",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,10,23,636,52,8.2,398.4,NA,NA,98,NA,NA,NA,52,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Physics"," Asian"
"3","45922",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,11,23,636,58,9.1,400.3,NA,NA,86,NA,NA,NA,58,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Physics"," Asian"
"4","45923",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,11,21,636,60,9.4,428.2,NA,NA,92,NA,NA,NA,60,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Chemistry"," Asian"
"5","45928",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,11,7,636,208,32.7,422.3,NA,NA,96,NA,NA,NA,208,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST English-Language Arts"," Asian"
"6","45929",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,11,11,636,11,1.7,334.8,NA,NA,27,NA,NA,NA,11,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Geometry"," Asian"
"7","45930",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,11,15,636,159,25,417.5,NA,NA,89,NA,NA,NA,159,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Summative High School Mathematics (Grade 9-11) "," Asian"
"8","45931",38,68478,3833407,0,2010,202,"C",0,1882,1875,580,11,13,636,35,5.5,355.2,NA,NA,53,NA,NA,NA,34,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Algebra II"," Asian"
"9","45947",38,68478,3833407,0,2010,203,"C",0,1882,1875,23,9,20,610,12,2,348.9,NA,NA,42,NA,NA,NA,12,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Biology/Life Sciences"," Filipino"
"10","45977",38,68478,3833407,0,2010,204,"C",0,1882,1875,64,10,21,636,15,2.4,346.4,NA,NA,33,NA,NA,NA,15,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Chemistry"," Hispanic or Latino"
"11","45989",38,68478,3833407,0,2010,204,"C",0,1882,1875,64,11,19,636,19,3,394.5,NA,NA,74,NA,NA,NA,19,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST U.S. History"," Hispanic or Latino"
"12","46156",38,68478,3833407,0,2010,223,"C",0,1882,1875,97,11,7,636,24,3.8,393.9,NA,NA,92,NA,NA,NA,24,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST English-Language Arts"," Filipino"
"13","46174",38,68478,3833407,0,2010,224,"C",0,1882,1875,73,9,9,610,15,2.5,374.3,NA,NA,73,NA,NA,NA,15,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST Algebra I"," Hispanic or Latino"
"14","46176",38,68478,3833407,0,2010,224,"C",0,1882,1875,73,10,7,636,22,3.5,398.5,NA,NA,91,NA,NA,NA,22,NA,"Lowell High","San Francisco Unified","San Francisco",94132,"CST English-Language Arts"," Hispanic or Latino"
"15","46433",38,68478,3834082,0,2010,6,"C",0,661,646,340,9,9,239,94,39.3,299.7,NA,NA,23,NA,NA,NA,94,NA,"Mission High","San Francisco Unified","San Francisco",94114,"CST Algebra I"," Fluent-English Proficient and English Only"
"16","46437",38,68478,3834082,0,2010,6,"C",0,661,646,340,9,22,239,23,9.6,329.8,NA,NA,35,NA,NA,NA,23,NA,"Mission High","San Francisco Unified","San Francisco",94114,"CST Earth Science"," Fluent-English Proficient and English Only"
"17","46443",38,68478,3834082,0,2010,6,"C",0,661,646,340,10,32,228,98,43,333.2,NA,NA,40,NA,NA,NA,98,NA,"Mission High","San Francisco Unified","San Francisco",94114,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," Fluent-English Proficient and English Only"
"18","46484",38,68478,3834082,0,2010,7,"C",0,661,646,40,9,9,239,12,5,314,NA,NA,25,NA,NA,NA,12,NA,"Mission High","San Francisco Unified","San Francisco",94114,"CST Algebra I"," Initially-Fluent English Proficient (I-FEP)"
"19","46488",38,68478,3834082,0,2010,7,"C",0,661,646,40,10,18,228,15,6.6,364.3,NA,NA,40,NA,NA,NA,15,NA,"Mission High","San Francisco Unified","San Francisco",94114,"CST World History"," Initially-Fluent English Proficient (I-FEP)"
"20","48018",38,68478,3834082,0,2010,222,"C",0,661,646,43,9,7,239,19,7.9,362.2,NA,NA,68,NA,NA,NA,19,NA,"Mission High","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," Asian"
"21","48266",38,68478,3834769,0,2010,4,"C",0,437,414,191,10,7,132,56,42.4,308,NA,NA,23,NA,NA,NA,56,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST English-Language Arts"," Females"
"22","48267",38,68478,3834769,0,2010,4,"C",0,437,414,191,10,18,132,55,41.7,285.4,NA,NA,15,NA,NA,NA,54,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST World History"," Females"
"23","48271",38,68478,3834769,0,2010,4,"C",0,437,414,191,10,32,132,55,41.7,305.3,NA,NA,20,NA,NA,NA,55,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," Females"
"24","48272",38,68478,3834769,0,2010,4,"C",0,437,414,191,11,23,140,21,15,293.9,NA,NA,0,NA,NA,NA,19,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Physics"," Females"
"25","48277",38,68478,3834769,0,2010,4,"C",0,437,414,191,11,19,140,54,38.6,324.1,NA,NA,37,NA,NA,NA,54,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST U.S. History"," Females"
