"","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","School.Name","District.Name","County.Name","Zip.Code"
"7529",38,10389,1,0,2013,1,"C",0,125,117,117,9,18,22,14,63.6,"239.5","0","0","0","14","0","86",14,"District Students in NPS","Alameda City Unified","Alameda",94501
"7533",38,10389,1,0,2013,1,"C",0,125,117,117,9,7,22,11,50,"268.7","0","0","0","18","36","45",11,"District Students in NPS","Alameda City Unified","Alameda",94501
"7535",38,10389,1,0,2013,1,"C",0,125,117,117,10,7,20,12,60,"286.9","0","0","0","63","13","25",8,"District Students in NPS","Alameda City Unified","Alameda",94501
"7538",38,10389,1,0,2013,1,"C",0,125,117,117,10,18,20,13,65,"268.5","0","0","0","20","20","60",10,"District Students in NPS","Alameda City Unified","Alameda",94501
"7606",38,10389,1,0,2013,3,"C",0,125,117,91,9,18,22,11,50,"244.3","","","0","","","",11,"District Students in NPS","Alameda City Unified","Alameda",94501
"7607",38,10389,1,0,2013,3,"C",0,125,117,91,10,18,20,11,55,"270.1","","","0","","","",8,"District Students in NPS","Alameda City Unified","Alameda",94501
"7609",38,10389,1,0,2013,3,"C",0,125,117,91,10,7,20,11,55,"285.4","","","0","","","",7,"District Students in NPS","Alameda City Unified","Alameda",94501
"8830",38,10389,3830361,0,2013,1,"C",0,49,40,40,9,9,23,11,47.8,"257.4","0","0","0","0","45","55",11,"San Francisco Court","San Francisco County Office of Education","San Francisco",94127
"8833",38,10389,3830361,0,2013,1,"C",0,49,40,40,9,7,23,14,60.9,"283.7","0","0","0","31","31","38",13,"San Francisco Court","San Francisco County Office of Education","San Francisco",94127
"8984",38,10389,3830361,0,2013,31,"C",0,49,40,25,9,7,23,11,47.8,"288.6","","","0","","","",10,"San Francisco Court","San Francisco County Office of Education","San Francisco",94127
"9121",38,10389,3830361,0,2013,99,"C",0,49,40,27,9,7,23,13,56.5,"282.8","","","0","","","",12,"San Francisco Court","San Francisco County Office of Education","San Francisco",94127
"9177",38,10389,3830361,0,2013,121,"C",0,49,40,28,9,7,23,12,52.2,"291.5","","","0","","","",11,"San Francisco Court","San Francisco County Office of Education","San Francisco",94127
"9449",38,10389,3830395,0,2013,1,"C",0,50,29,29,11,7,22,12,54.5,"284.0","0","0","0","40","20","40",5,"San Francisco Co. Opportunity","San Francisco County Office of Education","San Francisco",94103
"9462",38,10389,3830395,0,2013,4,"C",0,50,29,29,11,7,22,12,54.5,"284.0","","","0","","","",5,"San Francisco Co. Opportunity","San Francisco County Office of Education","San Francisco",94103
"9506",38,10389,3830395,0,2013,31,"C",0,50,29,27,11,7,22,11,50,"284.0","","","0","","","",5,"San Francisco Co. Opportunity","San Francisco County Office of Education","San Francisco",94103
"9686",38,10389,3830445,0,2013,1,"C",0,143,126,126,9,18,45,12,26.7,"232.8","0","0","0","0","13","88",8,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9687",38,10389,3830445,0,2013,1,"C",0,143,126,126,9,9,45,20,44.4,"259.4","0","0","0","0","63","38",16,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9689",38,10389,3830445,0,2013,1,"C",0,143,126,126,9,20,45,18,40,"260.0","0","0","0","0","19","81",16,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9690",38,10389,3830445,0,2013,1,"C",0,143,126,126,9,7,45,34,75.6,"287.8","0","11","11","29","32","29",28,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9691",38,10389,3830445,0,2013,1,"C",0,143,126,126,10,7,34,31,91.2,"263.8","0","0","0","21","14","66",29,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9692",38,10389,3830445,0,2013,1,"C",0,143,126,126,10,20,34,21,61.8,"279.1","0","0","0","24","18","59",17,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9693",38,10389,3830445,0,2013,1,"C",0,143,126,126,10,9,34,25,73.5,"245.1","0","0","0","4","28","68",25,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9694",38,10389,3830445,0,2013,1,"C",0,143,126,126,10,18,34,18,52.9,"243.1","0","0","0","0","7","93",15,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9695",38,10389,3830445,0,2013,1,"C",0,143,126,126,10,32,34,17,50,"263.4","0","0","0","7","47","47",15,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9699",38,10389,3830445,0,2013,1,"C",0,143,126,126,11,20,27,13,48.1,"278.8","0","10","10","10","30","50",10,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9700",38,10389,3830445,0,2013,1,"C",0,143,126,126,11,7,27,21,77.8,"274.1","0","7","7","20","27","47",15,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9701",38,10389,3830445,0,2013,1,"C",0,143,126,126,11,18,27,11,40.7,"255.9","0","0","0","11","0","89",9,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9702",38,10389,3830445,0,2013,1,"C",0,143,126,126,11,19,27,19,70.4,"262.1","0","5","5","11","21","63",19,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9703",38,10389,3830445,0,2013,1,"C",0,143,126,126,11,9,27,11,40.7,"251.3","0","0","0","0","55","45",11,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9733",38,10389,3830445,0,2013,3,"C",0,143,126,76,9,7,45,16,35.6,"290.0","","","14","","","",14,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9734",38,10389,3830445,0,2013,3,"C",0,143,126,76,10,7,34,22,64.7,"261.7","","","0","","","",21,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9735",38,10389,3830445,0,2013,3,"C",0,143,126,76,10,32,34,12,35.3,"263.5","","","0","","","",11,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9737",38,10389,3830445,0,2013,3,"C",0,143,126,76,10,20,34,14,41.2,"280.0","","","0","","","",13,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9738",38,10389,3830445,0,2013,3,"C",0,143,126,76,10,18,34,11,32.4,"238.7","","","0","","","",10,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9739",38,10389,3830445,0,2013,3,"C",0,143,126,76,10,9,34,20,58.8,"247.6","","","0","","","",20,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9741",38,10389,3830445,0,2013,3,"C",0,143,126,76,11,19,27,13,48.1,"267.9","","","8","","","",13,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9745",38,10389,3830445,0,2013,3,"C",0,143,126,76,11,7,27,12,44.4,"286.6","","","11","","","",9,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9767",38,10389,3830445,0,2013,4,"C",0,143,126,49,9,9,45,11,24.4,"246.4","","","0","","","",9,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9769",38,10389,3830445,0,2013,4,"C",0,143,126,49,9,20,45,11,24.4,"262.2","","","0","","","",9,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
"9770",38,10389,3830445,0,2013,4,"C",0,143,126,49,9,7,45,18,40,"285.5","","","7","","","",14,"Civic Center Sec.","San Francisco County Office of Education","San Francisco",94102
